ENSG00000187608 ISG15
ENSG00000109743 BST1
ENSG00000137441 FGFBP2
ENSG00000181826 RELL1
ENSG00000121895 TMEM156
ENSG00000163682 RPL9
ENSG00000121892 PDS5A
ENSG00000145216 FIP1L1
ENSG00000171476 HOPX
ENSG00000163453 IGFBP7
ENSG00000132465 IGJ
ENSG00000152785 BMP3
ENSG00000138670 RASGEF1B
ENSG00000145287 PLAC8
ENSG00000145335 SNCA
ENSG00000138777 PPA2
ENSG00000138795 LEF1
ENSG00000109475 RPL34
ENSG00000174720 LARP7
ENSG00000164109 MAD2L1
ENSG00000138709 LARP1B
ENSG00000109436 TBC1D9
ENSG00000120519 SLC10A7
ENSG00000071205 ARHGAP10
ENSG00000145425 RPS3A
ENSG00000137601 NEK1
ENSG00000164104 HMGB2
ENSG00000129128 SPCS3
ENSG00000251230 RP11-701P16.5
ENSG00000049656 CLPTM1L
ENSG00000112941 PAPD7
ENSG00000113387 SUB1
ENSG00000168685 IL7R
ENSG00000145592 RPL37
ENSG00000172262 ZNF131
ENSG00000164172 MOCS2
ENSG00000113088 GZMK
ENSG00000145649 GZMA
ENSG00000085231 TAF9
ENSG00000145741 BTF3
ENSG00000164253 WDR41
ENSG00000039319 ZFYVE16
ENSG00000186468 RPS23
ENSG00000134480 CCNH
ENSG00000081189 MEF2C
ENSG00000198961 PJA2
ENSG00000153037 SRP19
ENSG00000168944 CEP120
ENSG00000169567 HINT1
ENSG00000113558 SKP1
ENSG00000120738 EGR1
ENSG00000170476 MZB1
ENSG00000120306 CYSTM1
ENSG00000170458 CD14
ENSG00000081791 KIAA0141
ENSG00000164265 SCGB3A2
ENSG00000164284 GRPEL2
ENSG00000113716 HMGXB3
ENSG00000019582 CD74
ENSG00000164587 RPS14
ENSG00000072571 HMMR
ENSG00000120137 PANK3
ENSG00000134516 DOCK2
ENSG00000181163 NPM1
ENSG00000120129 DUSP1
ENSG00000037241 RPL26L1
ENSG00000113749 HRH2
ENSG00000169230 PRELID1
ENSG00000184840 TMED9
ENSG00000213316 LTC4S
ENSG00000113300 CNOT6
ENSG00000204628 GNB2L1
ENSG00000112679 DUSP22
ENSG00000124491 F13A1
ENSG00000112799 LY86
ENSG00000124783 SSR1
ENSG00000112137 PHACTR1
ENSG00000137414 FAM8A1
ENSG00000272269 RP11-500C11.3
ENSG00000206503 HLA-A
ENSG00000204592 HLA-E
ENSG00000204576 PRR3
ENSG00000204525 HLA-C
ENSG00000234745 HLA-B
ENSG00000204498 NFKBIL1
ENSG00000227507 LTB
ENSG00000204482 LST1
ENSG00000204475 NCR3
ENSG00000204472 AIF1
ENSG00000204444 APOM
ENSG00000213719 CLIC1
ENSG00000204287 HLA-DRA
ENSG00000198502 HLA-DRB5
ENSG00000196126 HLA-DRB1
ENSG00000196735 HLA-DQA1
ENSG00000179344 HLA-DQB1
ENSG00000237541 HLA-DQA2
ENSG00000232629 HLA-DQB2
ENSG00000241106 HLA-DOB
ENSG00000240065 PSMB9
ENSG00000242574 HLA-DMB
ENSG00000204257 HLA-DMA
ENSG00000231389 HLA-DPA1
ENSG00000223865 HLA-DPB1
ENSG00000204228 HSD17B8
ENSG00000231500 RPS18
ENSG00000124614 RPS10
ENSG00000198755 RPL10A
ENSG00000112078 KCTD20
ENSG00000198937 CCDC167
ENSG00000124593 PRICKLE4
ENSG00000124571 XPO5
ENSG00000225791 TRAM2-AS1
ENSG00000154079 C6orf57
ENSG00000135297 MTO1
ENSG00000156508 EEF1A1
ENSG00000198833 UBE2J1
ENSG00000112335 SNX3
ENSG00000123505 AMD1
ENSG00000228624 RP3-399L15.3
ENSG00000111885 MAN1A1
ENSG00000111911 HINT3
ENSG00000112306 RPS12
ENSG00000272189 RP3-325F22.5
ENSG00000112357 PEX7
ENSG00000118508 RAB32
ENSG00000164691 TAGAP
ENSG00000026297 RNASET2
ENSG00000136213 CHST12
ENSG00000075624 ACTB
ENSG00000136238 RAC1
ENSG00000136240 KDELR2
ENSG00000106460 TMEM106B
ENSG00000122566 HNRNPA2B1
ENSG00000086300 SNX10
ENSG00000106066 CPVL
ENSG00000122545 SEPT7
ENSG00000164543 STK17A
ENSG00000196262 PPIA
ENSG00000146731 CCT6A
ENSG00000129103 SUMF2
ENSG00000106153 CHCHD2
ENSG00000152926 ZNF117
ENSG00000225969 LINC00035
ENSG00000106683 LIMK1
ENSG00000106665 CLIP2
ENSG00000158517 NCF1
ENSG00000188372 ZP3
ENSG00000273341 RP5-899E9.1
ENSG00000224046 AC005076.5
ENSG00000105829 BET1
ENSG00000198742 SMURF1
ENSG00000130429 ARPC1B
ENSG00000221838 AP4M1
ENSG00000106400 ZNHIT1
ENSG00000105851 PIK3CG
ENSG00000128604 IRF5
ENSG00000106477 CEP41
ENSG00000106123 EPHB6
ENSG00000170260 ZNF212
ENSG00000179144 GIMAP7
ENSG00000106565 TMEM176B
ENSG00000002933 TMEM176A
ENSG00000033050 ABCF2
ENSG00000169100 SLC25A6
ENSG00000101911 PRPS2
ENSG00000205542 TMSB4X
ENSG00000182287 AP1S2
ENSG00000130066 SAT1
ENSG00000120280 CXorf21
ENSG00000157625 TAB3
ENSG00000215301 DDX3X
ENSG00000183690 EFHC2
ENSG00000182872 RBM10
ENSG00000102265 TIMP1
ENSG00000126759 CFP
ENSG00000147155 EBP
ENSG00000102317 RBM3
ENSG00000184083 FAM120C
ENSG00000198034 RPS4X
ENSG00000078596 ITM2A
ENSG00000131171 SH3BGRL
ENSG00000241343 RPL36A
ENSG00000166681 NGFRAP1
ENSG00000157514 TSC22D3
ENSG00000175556 LONRF3
ENSG00000005022 SLC25A5
ENSG00000198918 RPL39
ENSG00000156697 UTP14A
ENSG00000186376 ZNF75D
ENSG00000102245 CD40LG
ENSG00000147382 FAM58A
ENSG00000185825 BCAP31
ENSG00000180879 SSR4
ENSG00000102030 NAA10
ENSG00000147403 RPL10
ENSG00000147364 FBXO25
ENSG00000036448 MYOM2
ENSG00000136573 BLK
ENSG00000158863 FAM160B2
ENSG00000120899 PTK2B
ENSG00000168081 PNOC
ENSG00000133872 TMEM66
ENSG00000147535 PPAPDC1B
ENSG00000165046 LETM2
ENSG00000131203 IDO1
ENSG00000221869 CEBPD
ENSG00000023287 RB1CC1
ENSG00000047249 ATP6V1H
ENSG00000008988 RPS20
ENSG00000035681 NSMAF
ENSG00000167912 RP11-25K19.1
ENSG00000104442 ARMC1
ENSG00000066855 MTFR1
ENSG00000147604 RPL7
ENSG00000147586 MRPS28
ENSG00000155100 OTUD6B
ENSG00000104341 LAPTM4B
ENSG00000156482 RPL30
ENSG00000070756 PABPC1
ENSG00000155097 ATP6V1C1
ENSG00000136986 DERL1
ENSG00000170873 MTSS1
ENSG00000136997 MYC
ENSG00000104472 CHRAC1
ENSG00000104529 EEF1D
ENSG00000179091 CYC1
ENSG00000187954 CYHR1
ENSG00000254402 LRRC24
ENSG00000213563 C8orf82
ENSG00000161016 RPL8
ENSG00000170619 COMMD5
ENSG00000107036 KIAA1432
ENSG00000137154 RPS6
ENSG00000197579 TOPORS
ENSG00000168913 ENHO
ENSG00000159884 CCDC107
ENSG00000135046 ANXA1
ENSG00000148019 CEP78
ENSG00000196116 TDRD7
ENSG00000095380 NANS
ENSG00000136826 KLF4
ENSG00000148180 GSN
ENSG00000011454 RABGAP1
ENSG00000136942 RPL35
ENSG00000044574 HSPA5
ENSG00000197958 RPL12
ENSG00000119392 GLE1
ENSG00000136819 C9orf78
ENSG00000126883 NUP214
ENSG00000160563 MED27
ENSG00000125482 TTF1
ENSG00000148303 RPL7A
ENSG00000148290 SURF1
ENSG00000085265 FCN1
ENSG00000148411 NACC2
ENSG00000187796 CARD9
ENSG00000148400 NOTCH1
ENSG00000107317 PTGDS
ENSG00000169583 CLIC3
ENSG00000180549 FUT7
ENSG00000188566 NDOR1
ENSG00000197070 ARRDC1
ENSG00000181090 EHMT1
ENSG00000107929 LARP4B
ENSG00000067082 KLF6
ENSG00000057608 GDI2
ENSG00000026025 VIM
ENSG00000198105 ZNF248
ENSG00000075407 ZNF37A
ENSG00000169826 CSGALNACT2
ENSG00000169813 HNRNPF
ENSG00000165512 ZNF22
ENSG00000204161 C10orf128
ENSG00000122952 ZWINT
ENSG00000204130 RUFY2
ENSG00000122862 SRGN
ENSG00000156510 HKDC1
ENSG00000042286 AIFM2
ENSG00000180817 PPA1
ENSG00000180644 PRF1
ENSG00000166228 PCBD1
ENSG00000198246 SLC29A3
ENSG00000107736 CDH23
ENSG00000197746 PSAP
ENSG00000148655 C10orf11
ENSG00000138326 RPS24
ENSG00000108175 ZMIZ1
ENSG00000122359 ANXA11
ENSG00000107789 MINPP1
ENSG00000107854 TNKS2
ENSG00000196233 LCOR
ENSG00000119986 AVPI1
ENSG00000260475 RP11-85A1.3
ENSG00000272572 RP11-179B2.2
ENSG00000166275 C10orf32
ENSG00000119950 MXI1
ENSG00000119927 GPAM
ENSG00000198873 GRK5
ENSG00000148908 RGS10
ENSG00000198825 INPP5F
ENSG00000107669 ATE1
ENSG00000203791 METTL10
ENSG00000148773 MKI67
ENSG00000171794 UTF1
ENSG00000185201 IFITM2
ENSG00000185885 IFITM1
ENSG00000142089 IFITM3
ENSG00000023191 RNH1
ENSG00000185507 IRF7
ENSG00000177156 TALDO1
ENSG00000177600 RPLP2
ENSG00000117984 CTSD
ENSG00000130592 LSP1
ENSG00000166441 RPL27A
ENSG00000110700 RPS13
ENSG00000070081 NUCB2
ENSG00000134333 LDHA
ENSG00000066336 SPI1
ENSG00000149150 SLC43A1
ENSG00000213593 TMX2
ENSG00000110077 MS4A6A
ENSG00000166927 MS4A7
ENSG00000156738 MS4A1
ENSG00000110108 TMEM109
ENSG00000162144 CYB561A3
ENSG00000134825 TMEM258
ENSG00000168496 FEN1
ENSG00000149485 FADS1
ENSG00000167996 FTH1
ENSG00000162194 C11orf48
ENSG00000162188 GNG3
ENSG00000168002 POLR2G
ENSG00000162236 STX5
ENSG00000133321 RARRES3
ENSG00000168066 SF1
ENSG00000149806 FAU
ENSG00000245532 NEAT1
ENSG00000251562 MALAT1
ENSG00000197136 PCNXL3
ENSG00000172922 RNASEH2C
ENSG00000172757 CFL1
ENSG00000172543 CTSW
ENSG00000173653 RCE1
ENSG00000173020 ADRBK1
ENSG00000172613 RAD9A
ENSG00000213402 PTPRCAP
ENSG00000172725 CORO1B
ENSG00000084207 GSTP1
ENSG00000167799 NUDT8
ENSG00000132749 MTL5
ENSG00000137497 NUMA1
ENSG00000175567 UCP2
ENSG00000175564 UCP3
ENSG00000137486 ARRB1
ENSG00000149273 RPS3
ENSG00000137494 ANKRD42
ENSG00000150687 PRSS23
ENSG00000109861 CTSC
ENSG00000166002 SMCO4
ENSG00000110318 KIAA1377
ENSG00000152558 TMEM123
ENSG00000170903 MSANTD4
ENSG00000182985 CADM1
ENSG00000160593 AMICA1
ENSG00000160588 MPZL3
ENSG00000198851 CD3E
ENSG00000167286 CD3D
ENSG00000167283 ATP5L
ENSG00000186166 CCDC84
ENSG00000118181 RPS25
ENSG00000137700 SLC37A4
ENSG00000149428 HYOU1
ENSG00000109971 HSPA8
ENSG00000154134 ROBO3
ENSG00000198331 HYLS1
ENSG00000165526 RPUSD4
ENSG00000110063 DCPS
ENSG00000073614 KDM5A
ENSG00000060237 WNK1
ENSG00000111224 PARP11
ENSG00000139193 CD27
ENSG00000111640 GAPDH
ENSG00000159335 PTMS
ENSG00000089692 LAG3
ENSG00000111665 CDCA3
ENSG00000111669 TPI1
ENSG00000111678 C12orf57
ENSG00000126749 EMG1
ENSG00000166527 CLEC4D
ENSG00000166523 CLEC4E
ENSG00000111796 KLRB1
ENSG00000110848 CD69
ENSG00000150045 KLRF1
ENSG00000256660 CLEC12B
ENSG00000197992 CLEC9A
ENSG00000172243 CLEC7A
ENSG00000134539 KLRD1
ENSG00000205809 KLRC2
ENSG00000134545 KLRC1
ENSG00000256039 RP11-291B21.2
ENSG00000111291 GPRC5D
ENSG00000111348 ARHGDIB
ENSG00000111716 LDHB
ENSG00000139132 FGD4
ENSG00000179715 PCED1B
ENSG00000134285 FKBP11
ENSG00000123416 TUBA1B
ENSG00000167552 TUBA1A
ENSG00000123352 SPATS2
ENSG00000170545 SMAGP
ENSG00000186049 KRT73
ENSG00000111057 KRT18
ENSG00000172819 RARG
ENSG00000135390 ATP5G2
ENSG00000135486 HNRNPA1
ENSG00000123360 PDE1B
ENSG00000135404 CD63
ENSG00000135392 DNAJC14
ENSG00000197728 RPS26
ENSG00000092841 MYL6
ENSG00000139645 ANKRD52
ENSG00000062485 CS
ENSG00000110944 IL23A
ENSG00000110955 ATP5B
ENSG00000196531 NACA
ENSG00000111530 CAND1
ENSG00000090382 LYZ
ENSG00000133858 ZFC3H1
ENSG00000080371 RAB21
ENSG00000139289 PHLDA1
ENSG00000127720 METTL25
ENSG00000271614 LINC00936
ENSG00000133639 BTG1
ENSG00000173588 CCDC41
ENSG00000111144 LTA4H
ENSG00000166598 HSP90B1
ENSG00000111229 ARPC3
ENSG00000111237 VPS29
ENSG00000204842 ATXN2
ENSG00000089248 ERP29
ENSG00000089009 RPL6
ENSG00000089220 PEBP1
ENSG00000089157 RPLP0
ENSG00000130921 C12orf65
ENSG00000111328 CDK2AP1
ENSG00000150991 UBC
ENSG00000151948 GLT1D1
ENSG00000111450 STX2
ENSG00000256576 RP13-977J11.2
ENSG00000177084 POLE
ENSG00000132950 ZMYM5
ENSG00000173141 MRP63
ENSG00000122026 RPL21
ENSG00000133119 RFC3
ENSG00000120675 DNAJC15
ENSG00000133112 TPT1
ENSG00000102796 DHRS12
ENSG00000102471 NDFIP2
ENSG00000088387 DOCK9
ENSG00000151287 TEX30
ENSG00000183087 GAS6
ENSG00000185989 RASA3
ENSG00000198824 CHAMP1
ENSG00000198805 PNP
ENSG00000214274 ANG
ENSG00000169413 RNASE6
ENSG00000100804 PSMB5
ENSG00000092067 CEBPE
ENSG00000235194 PPP1R3E
ENSG00000100911 PSME2
ENSG00000196943 NOP9
ENSG00000100450 GZMH
ENSG00000100453 GZMB
ENSG00000151327 FAM177A1
ENSG00000100906 NFKBIA
ENSG00000213741 RPS29
ENSG00000165502 RPL36AL
ENSG00000165527 ARF6
ENSG00000131981 LGALS3
ENSG00000119655 NPC2
ENSG00000170345 FOS
ENSG00000198668 CALM1
ENSG00000197249 SERPINA1
ENSG00000133937 GSC
ENSG00000213231 TCL1B
ENSG00000100721 TCL1A
ENSG00000127152 BCL11B
ENSG00000196405 EVL
ENSG00000140105 WARS
ENSG00000176473 WDR25
ENSG00000259717 LINC00677
ENSG00000185215 TNFAIP2
ENSG00000166428 PLD4
ENSG00000182809 CRIP2
ENSG00000213145 CRIP1
ENSG00000253701 AL928768.3
ENSG00000226777 KIAA0125
ENSG00000104081 BMF
ENSG00000166145 SPINT1
ENSG00000104142 VPS18
ENSG00000137804 NUSAP1
ENSG00000103932 RPAP1
ENSG00000168970 JMJD7-PLA2G4B
ENSG00000140264 SERF2
ENSG00000166710 B2M
ENSG00000104154 SLC30A4
ENSG00000128951 DUT
ENSG00000255302 EID1
ENSG00000104043 ATP8B4
ENSG00000260916 CCPG1
ENSG00000247982 LINC00926
ENSG00000182718 ANXA2
ENSG00000245534 RP11-219B17.1
ENSG00000028528 SNX1
ENSG00000166794 PPIB
ENSG00000166803 KIAA0101
ENSG00000166855 CLPX
ENSG00000174444 RPL4
ENSG00000137818 RPLP1
ENSG00000067225 PKM
ENSG00000178741 COX5A
ENSG00000140379 BCL2A1
ENSG00000172183 ISG20
ENSG00000161980 POLR3K
ENSG00000103126 AXIN1
ENSG00000129925 TMEM8A
ENSG00000103269 RHBDL1
ENSG00000260807 RP11-161M6.2
ENSG00000140988 RPS2
ENSG00000008517 IL32
ENSG00000262468 RP11-95P2.1
ENSG00000118900 UBN1
ENSG00000185338 SOCS1
ENSG00000153066 TXNDC11
ENSG00000048462 TNFRSF17
ENSG00000254852 NPIPA2
ENSG00000134419 RPS15A
ENSG00000188215 DCUN1D3
ENSG00000140749 IGSF6
ENSG00000166501 PRKCB
ENSG00000177455 CD19
ENSG00000167371 PRRT2
ENSG00000102879 CORO1A
ENSG00000156873 PHKG2
ENSG00000099381 SETD1A
ENSG00000103490 PYCARD
ENSG00000185947 ZNF267
ENSG00000140718 FTO
ENSG00000125148 MT2A
ENSG00000051108 HERPUD1
ENSG00000159648 TEPP
ENSG00000166188 ZNF319
ENSG00000159713 TPPP3
ENSG00000124067 SLC12A4
ENSG00000132600 PRMT7
ENSG00000103187 COTL1
ENSG00000131143 COX4I1
ENSG00000140968 IRF8
ENSG00000103257 SLC7A5
ENSG00000051523 CYBA
ENSG00000167526 RPL13
ENSG00000167711 SERPINF2
ENSG00000040531 CTNS
ENSG00000161921 CXCL16
ENSG00000108518 PFN1
ENSG00000180787 ZFP3
ENSG00000161929 SCIMP
ENSG00000129197 RPAIN
ENSG00000132514 CLEC10A
ENSG00000170296 GABARAP
ENSG00000161960 EIF4A1
ENSG00000129245 FXR2
ENSG00000178977 LINC00324
ENSG00000161970 RPL26
ENSG00000187824 TMEM220
ENSG00000170315 UBB
ENSG00000141127 PRPSAP2
ENSG00000262074 SNORD3B-2
ENSG00000128487 SPECC1
ENSG00000168961 LGALS9
ENSG00000087095 NLK
ENSG00000132581 SDF2
ENSG00000198242 RPL23A
ENSG00000161570 CCL5
ENSG00000006075 CCL3
ENSG00000129277 CCL4
ENSG00000125691 RPL23
ENSG00000108298 RPL19
ENSG00000265666 CTD-2267D19.2
ENSG00000173812 EIF1
ENSG00000108771 DHX58
ENSG00000033627 ATP6V0A1
ENSG00000267042 CTD-3193K9.4
ENSG00000131469 RPL27
ENSG00000108861 DUSP3
ENSG00000141349 G6PC3
ENSG00000030582 GRN
ENSG00000073861 TBX21
ENSG00000002919 SNX11
ENSG00000159199 ATP5G1
ENSG00000108798 ABI3
ENSG00000213246 SUPT4H1
ENSG00000141378 PTRH2
ENSG00000136490 LIMD2
ENSG00000108588 CCDC47
ENSG00000007312 CD79B
ENSG00000108654 DDX5
ENSG00000108370 RGS9
ENSG00000172809 RPL38
ENSG00000186407 CD300E
ENSG00000161513 FDXR
ENSG00000167861 HID1
ENSG00000189159 HN1
ENSG00000132475 H3F3B
ENSG00000141569 TRIM65
ENSG00000257949 TEN1
ENSG00000070731 ST6GALNAC2
ENSG00000092931 MFSD11
ENSG00000141524 TMC6
ENSG00000167280 ENGASE
ENSG00000184009 ACTG1
ENSG00000141552 ANAPC11
ENSG00000169733 RFNG
ENSG00000141526 SLC16A3
ENSG00000173762 CD7
ENSG00000141574 SECTM1
ENSG00000176890 TYMS
ENSG00000272625 RP11-737O24.5
ENSG00000101608 MYL12A
ENSG00000118680 MYL12B
ENSG00000178127 NDUFV2
ENSG00000101745 ANKRD12
ENSG00000141447 OSBPL1A
ENSG00000134755 DSC2
ENSG00000186812 ZNF397
ENSG00000141428 C18orf21
ENSG00000152234 ATP5A1
ENSG00000265681 RPL17
ENSG00000196628 TCF4
ENSG00000166562 SEC11C
ENSG00000074695 LMAN1
ENSG00000267390 RP11-635N19.1
ENSG00000101307 SIRPB1
ENSG00000125834 STK35
ENSG00000125835 SNRPB
ENSG00000229539 RP11-119B16.2
ENSG00000132646 PCNA
ENSG00000089091 DZANK1
ENSG00000125810 CD93
ENSG00000101439 CST3
ENSG00000077984 CST7
ENSG00000101474 APMAP
ENSG00000101412 E2F1
ENSG00000101019 UQCC1
ENSG00000126001 CEP250
ENSG00000149639 SOGA1
ENSG00000204103 MAFB
ENSG00000224397 RP11-290F20.3
ENSG00000124172 ATP5E
ENSG00000132825 PPP1R3D
ENSG00000130699 TAF4
ENSG00000101182 PSMA7
ENSG00000171858 RPS21
ENSG00000092758 COL9A3
ENSG00000231133 HAR1B
ENSG00000101152 DNAJC5
ENSG00000197766 CFD
ENSG00000064666 CNN2
ENSG00000099624 ATP5D
ENSG00000115268 RPS15
ENSG00000227500 SCAMP4
ENSG00000104904 OAZ1
ENSG00000176533 GNG7
ENSG00000186300 ZNF555
ENSG00000104964 AES
ENSG00000125910 S1PR4
ENSG00000007264 MATK
ENSG00000167658 EEF2
ENSG00000167664 TMIGD2
ENSG00000167671 UBXN6
ENSG00000171236 LRG1
ENSG00000074842 C19orf10
ENSG00000141965 FEM1A
ENSG00000130255 RPL36
ENSG00000125652 ALKBH7
ENSG00000076944 STXBP2
ENSG00000104921 FCER2
ENSG00000233927 RPS28
ENSG00000130812 ANGPTL6
ENSG00000105397 TYK2
ENSG00000180739 S1PR5
ENSG00000129347 KRI1
ENSG00000214212 C19orf38
ENSG00000197044 ZNF441
ENSG00000223547 ZNF844
ENSG00000171223 JUNB
ENSG00000160888 IER2
ENSG00000267519 MIR24-2
ENSG00000267169 CTB-55O6.12
ENSG00000123136 DDX39A
ENSG00000131355 EMR3
ENSG00000160111 CPAMD8
ENSG00000130313 PGLS
ENSG00000105640 RPL18A
ENSG00000096996 IL12RB1
ENSG00000130522 JUND
ENSG00000130517 PGPEP1
ENSG00000221983 UBA52
ENSG00000105669 COPE
ENSG00000064545 TMEM161A
ENSG00000160352 ZNF714
ENSG00000182141 ZNF708
